Prediction_Date,Actual_Price,Predicted_LSTM_Price,Predicted_ARIMA_Price
2011-11-01 00:00:00,947.9874557,982.9414673,N/A
2011-12-01 00:00:00,1011.921493,923.5467529,N/A
2012-01-01 00:00:00,1054.911622,1028.47168,N/A
2012-02-01 00:00:00,1062.627799,1065.429077,N/A
2012-03-01 00:00:00,1017.433048,1063.587769,N/A
2012-04-01 00:00:00,1004.205316,999.8036499,N/A
2012-05-01 00:00:00,984.3637185,994.8269043,N/A
2012-06-01 00:00:00,933.6574128,969.3187256,N/A
2012-07-01 00:00:00,907.2019489,910.1644897,N/A
2012-08-01 00:00:00,952.3966997,893.2260742,N/A
2012-09-01 00:00:00,971.1359866,958.9346313,N/A
2012-10-01 00:00:00,906.0996379,974.1467896,N/A
2012-11-01 00:00:00,922.6343028,889.2450562,N/A
2012-12-01 00:00:00,945.7828337,927.9935913,N/A
2013-01-01 00:00:00,939.1689677,952.3137817,N/A
2013-02-01 00:00:00,920.4296808,938.0213623,N/A
2013-03-01 00:00:00,923.7366138,915.7714844,N/A
2013-04-01 00:00:00,907.2019489,923.7746582,N/A
2013-05-01 00:00:00,890.667284,901.9475098,N/A
2013-06-01 00:00:00,904.9973269,885.3325806,N/A
2013-07-01 00:00:00,944.6805227,907.359314,N/A
2013-08-01 00:00:00,963.4198096,954.5917969,N/A
2013-09-01 00:00:00,961.2151876,969.6984253,N/A
2013-10-01 00:00:00,960.1128766,961.2741699,N/A
2013-11-01 00:00:00,983.2614075,958.9588623,N/A
2013-12-01 00:00:00,992.0798955,986.8405151,N/A
2014-01-01 00:00:00,1000.898383,990.3627319,N/A
2014-02-01 00:00:00,976.6475416,998.0826416,N/A
2014-03-01 00:00:00,953.4990107,963.3671875,N/A
2014-04-01 00:00:00,984.3637185,940.2128296,N/A
2014-05-01 00:00:00,1026.251536,986.0123901,N/A
2014-06-01 00:00:00,1008.61456,1032.241211,N/A
2014-07-01 00:00:00,998.6937615,998.0362549,N/A
2014-08-01 00:00:00,1009.716871,990.9290771,N/A
2014-09-01 00:00:00,1006.409938,1006.763062,N/A
2014-10-01 00:00:00,997.5914505,997.9993286,N/A
2014-11-01 00:00:00,974.4429196,987.7869873,N/A
2014-12-01 00:00:00,967.8290536,960.5616455,N/A
2015-01-01 00:00:00,935.8620348,959.3191528,N/A
2015-02-01 00:00:00,890.667284,920.9006958,N/A
2015-03-01 00:00:00,820.1193803,874.5174561,N/A
2015-04-01 00:00:00,784.8454284,801.0979004,N/A
2015-05-01 00:00:00,777.1292515,776.3064575,N/A
2015-06-01 00:00:00,794.7662274,776.0635376,N/A
2015-07-01 00:00:00,793.6639164,801.1960449,N/A
2015-08-01 00:00:00,792.5616054,801.1738281,N/A
2015-09-01 00:00:00,773.8223185,801.1587524,N/A
2015-10-01 00:00:00,727.5252567,779.9156494,N/A
2015-11-01 00:00:00,692.2513049,728.578186,N/A
2015-12-01 00:00:00,659.181975,692.7684326,N/A
2016-01-01 00:00:00,708.7859698,659.7299805,N/A
2016-02-01 00:00:00,741.8552996,714.2286377,N/A
2016-03-01 00:00:00,765.0038305,752.8794556,N/A
2016-04-01 00:00:00,832.2448012,777.8083496,N/A
2016-05-01 00:00:00,967.8290536,850.5032349,N/A
2016-06-01 00:00:00,1053.809311,1003.200439,N/A
2016-07-01 00:00:00,1053.809311,1088.846069,N/A
2016-08-01 00:00:00,1028.456158,1056.687134,N/A
2016-09-01 00:00:00,975.5452306,1011.80835,N/A
2016-10-01 00:00:00,923.7366138,944.0809937,N/A
2016-11-01 00:00:00,895.0765279,890.6484985,N/A
2016-12-01 00:00:00,1024.046914,870.2479248,N/A
2017-01-01 00:00:00,1052.707,1043.661621,N/A
2017-02-01 00:00:00,1062.627799,1055.075317,N/A
2017-03-01 00:00:00,1075.855531,1062.015015,N/A
2017-04-01 00:00:00,1093.492507,1076.053467,N/A
2017-05-01 00:00:00,1063.73011,1091.377319,N/A
2017-06-01 00:00:00,1008.61456,1041.111694,N/A
2017-07-01 00:00:00,1047.195445,976.7880249,N/A
2017-08-01 00:00:00,1042.786201,1045.244141,N/A
2017-09-01 00:00:00,1046.093134,1025.110596,N/A
2017-10-01 00:00:00,1037.274646,1035.463989,N/A
2017-11-01 00:00:00,994.2845175,1024.42627,N/A
